BASKET_NUM,COMMODITY
5636,ALCOHOL
13822,ALCOHOL
64958,ALCOHOL
42011,ALCOHOL
9869,ALCOHOL
38168,ALCOHOL
25171,ALCOHOL
43823,ALCOHOL
1034,ALCOHOL
53641,ALCOHOL
4574,ALCOHOL
65802,ALCOHOL
25791,ALCOHOL
18410,ALCOHOL
83167,ALCOHOL
3743,ALCOHOL
62024,ALCOHOL
66418,ALCOHOL
79582,ALCOHOL
63304,ALCOHOL
10012,ALCOHOL
28149,ALCOHOL
81068,ALCOHOL
8151,ALCOHOL
48846,ALCOHOL
37455,ALCOHOL
49849,ALCOHOL
24342,ALCOHOL
2896,ALCOHOL
50859,ALCOHOL
48295,ALCOHOL
43804,ALCOHOL
76657,ALCOHOL
13940,ALCOHOL
10892,ALCOHOL
17708,ALCOHOL
31625,ALCOHOL
20108,ALCOHOL
41408,ALCOHOL
46597,ALCOHOL
22550,ALCOHOL
59070,ALCOHOL
27346,ALCOHOL
69786,ALCOHOL
31071,ALCOHOL
5298,ALCOHOL
51625,ALCOHOL
78870,ALCOHOL
80355,ALCOHOL
8940,ALCOHOL
48784,ALCOHOL
50507,ALCOHOL
42152,ALCOHOL
31833,ALCOHOL
18475,ALCOHOL
18502,ALCOHOL
55303,ALCOHOL
84944,ALCOHOL
84333,ALCOHOL
19026,ALCOHOL
2792,ALCOHOL
7957,ALCOHOL
52719,ALCOHOL
6874,ALCOHOL
58148,ALCOHOL
7576,ALCOHOL
51704,ALCOHOL
12721,ALCOHOL
7283,ALCOHOL
41711,ALCOHOL
49789,ALCOHOL
10402,ALCOHOL
59590,ALCOHOL
49197,ALCOHOL
23169,ALCOHOL
67229,ALCOHOL
62803,ALCOHOL
69403,ALCOHOL
75774,ALCOHOL
67822,ALCOHOL
25063,ALCOHOL
55594,ALCOHOL
40197,ALCOHOL
39947,ALCOHOL
20721,ALCOHOL
24133,ALCOHOL
33829,ALCOHOL
11108,ALCOHOL
5342,ALCOHOL
85335,ALCOHOL
6252,ALCOHOL
53682,ALCOHOL
27806,ALCOHOL
6532,ALCOHOL
36453,ALCOHOL
45337,ALCOHOL
62292,ALCOHOL
5636,ALCOHOL
13822,ALCOHOL
64958,ALCOHOL
42011,ALCOHOL
9869,ALCOHOL
38168,ALCOHOL
25171,ALCOHOL
43823,ALCOHOL
1034,ALCOHOL
53641,ALCOHOL
4574,ALCOHOL
65802,ALCOHOL
25791,ALCOHOL
18410,ALCOHOL
83167,ALCOHOL
3743,ALCOHOL
62024,ALCOHOL
66418,ALCOHOL
79582,ALCOHOL
63304,ALCOHOL
10012,ALCOHOL
28149,ALCOHOL
81068,ALCOHOL
8151,ALCOHOL
48846,ALCOHOL
37455,ALCOHOL
49849,ALCOHOL
24342,ALCOHOL
2896,ALCOHOL
50859,ALCOHOL
48295,ALCOHOL
43804,ALCOHOL
76657,ALCOHOL
13940,ALCOHOL
10892,ALCOHOL
17708,ALCOHOL
31625,ALCOHOL
20108,ALCOHOL
41408,ALCOHOL
46597,ALCOHOL
22550,ALCOHOL
59070,ALCOHOL
27346,ALCOHOL
69786,ALCOHOL
31071,ALCOHOL
5298,ALCOHOL
51625,ALCOHOL
78870,ALCOHOL
80355,ALCOHOL
8940,ALCOHOL
48784,ALCOHOL
50507,ALCOHOL
42152,ALCOHOL
31833,ALCOHOL
18475,BAKERY
34719,BAKERY
27078,BAKERY
30858,BAKERY
10402,BAKERY
23572,BAKERY
22001,BAKERY
15115,BAKERY
36453,BAKERY
16326,BAKERY
51714,BAKERY
51110,BAKERY
36132,BAKERY
26187,BAKERY
37330,BAKERY
